zone_tag,source,m_target,m_actual,E,T,sigma_E,lc,Delta,formed_prob,branches,tortuosity,zmax
z<=22,mE,0.5,0.49640287769784175,0.125,700.0,0.09064748201438848,2.9784172661870505,1.5028014724114869,0.75,93.0,41.086956521739125,22.0
z<=22,mE,0.75,0.7428571428571429,0.045,700.0,0.04628571428571428,4.457142857142857,0.7673488334639877,0.25,57.0,28.30434782608695,22.0
z<=22,mE,0.75,0.7391304347826088,0.055,700.0,0.046956521739130425,4.434782608695652,0.7784698310504223,0.0,,,22.0
z<=22,mE,0.75,0.7419321685508736,0.065,700.0,0.04645220966084274,4.451593011305242,0.7701090810663762,0.75,62.0,16.73913043478261,22.0
z<=22,mE,0.75,0.7391304347826088,0.075,700.0,0.046956521739130425,4.434782608695652,0.7784698310504223,0.25,59.0,45.65217391304348,22.0
z<=22,mE,0.75,0.7391304347826088,0.085,700.0,0.046956521739130425,4.434782608695652,0.7784698310504223,0.5,82.5,33.47826086956522,22.0
z<=22,mE,0.75,0.7410071942446044,0.095,700.0,0.04661870503597121,4.446043165467627,0.7728693286687646,0.25,117.0,39.65473145780051,22.0
z<=22,mE,0.75,0.7419321685508736,0.105,700.0,0.04645220966084274,4.451593011305242,0.7701090810663762,1.0,91.5,36.521739130434774,22.0
z<=22,mE,0.75,0.7372262773722628,0.115,700.0,0.0472992700729927,4.423357664233577,0.7841520925909365,1.0,83.5,57.3695652173913,22.0
z<=22,mE,0.75,0.7400688145136065,0.125,700.0,0.04678761338755082,4.4404128870816395,0.7756695798595934,1.0,90.5,48.086956521739125,22.0
z<=24,mE,0.25,0.2517985611510791,0.045,700.0,0.13467625899280575,1.5107913669064748,2.2327336161542095,0.0,,,24.0
z<=24,mE,0.25,0.25175983436853006,0.055,700.0,0.1346832298136646,1.5105590062111802,2.2328491820763707,0.25,66.0,81.26086956521738,24.0
z<=24,mE,0.25,0.25175983436853006,0.065,700.0,0.1346832298136646,1.5105590062111802,2.2328491820763707,0.0,,,24.0
z<=24,mE,0.25,0.2517985611510791,0.075,700.0,0.13467625899280575,1.5107913669064748,2.2327336161542095,0.0,,,24.0
z<=24,mE,0.25,0.25175983436853006,0.085,700.0,0.1346832298136646,1.5105590062111802,2.2328491820763707,0.5,67.5,33.81841432225063,24.0
z<=24,mE,0.25,0.2571428571428572,0.095,700.0,0.1337142857142857,1.5428571428571431,2.216785518895965,0.5,68.0,34.543478260869556,24.0
z<=24,mE,0.25,0.249087686372641,0.105,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,0.5,70.0,58.03708439897699,24.0
z<=24,mE,0.25,0.249087686372641,0.115,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,1.0,82.5,20.39130434782609,24.0
z<=24,mE,0.25,0.2544707091469681,0.125,700.0,0.13419527235354572,1.526824254881809,2.224759567525087,1.0,72.0,35.76086956521739,24.0
z<=24,mE,0.5,0.49999999999999994,0.045,700.0,0.09,2.9999999999999996,1.4920671761799764,0.0,,,24.0
z<=24,mE,0.5,0.49272698629417633,0.055,700.0,0.09130914246704826,2.956361917765058,1.5137708262247096,0.0,,,24.0
z<=24,mE,0.5,0.4963768115942029,0.065,700.0,0.09065217391304348,2.978260869565217,1.502879257166788,0.25,85.0,27.391304347826082,24.0
z<=24,mE,0.5,0.49275362318840576,0.075,700.0,0.09130434782608696,2.9565217391304346,1.5136913381535995,1.0,72.5,32.71739130434782,24.0
z<=24,mE,0.5,0.49457825044312376,0.085,700.0,0.09097591492023771,2.9674695026587425,1.5082464052825433,0.5,86.5,38.80434782608695,24.0
z<=24,mE,0.5,0.49275362318840576,0.095,700.0,0.09130434782608696,2.9565217391304346,1.5136913381535995,0.5,94.0,34.7463768115942,24.0
